id,WT_Veh1,WT_Veh2,WT_Veh3,WT_E2-1,WT_E2-2,WT_E2-3,baseMean
TENC1,2.17912,1.54189,1.61614,1.26448,1.43301,1.27931,1.552325
SLC10A7,3.47644,3.09362,3.07364,2.83344,2.88889,2.88939,3.04257
CAPN7,19.0476,19.1275,20.3444,20.4247,22.9513,20.5115,20.40116667
WDFY3,11.2757,12.2251,9.83723,9.96267,9.1778,9.67706,10.35926
RAD54L2,3.5037,3.64463,3.67983,3.42052,3.61076,3.31789,3.529555
POLR2G,104.19,96.2574,90.4119,93.5059,96.5845,95.7682,96.11965
SEMA4F,2.42043,2.54648,2.68111,2.67244,2.41404,2.26121,2.499285
VPS18,8.33916,7.80581,8.63536,7.18631,6.24277,6.51927,7.45478
SLC6A20,0,0,0,0,0,0.00565058,0.000941763
BPGM,5.48209,5.41204,5.39354,5.55476,5.32218,5.35908,5.420615
HEXIM2,6.02386,7.44616,7.01168,4.47844,4.99239,4.74979,5.78372
PROKR2,0,0,0,0,0,0,0
AL359195.1,0.00616015,0,0,0,0.0069719,0,0.002188675
CYP4F11,3.40068,3.23531,3.46082,2.82499,2.55135,2.70623,3.029896667
HRH2,0.308559,0.283671,0.293551,0.236402,0.18745,0.254131,0.260627333
ZEB1,0.22181,0.218134,0.229768,0.230964,0.265573,0.163872,0.221686833
KIAA1033,18.9188,20.0134,19.8676,20.263,19.1413,22.884,20.18135
GUF1,5.61733,5.66851,5.48195,6.13025,5.8558,6.91693,5.945128333
CASP1,0,0,0,0,0,0,0
SDF2L1,10.0377,12.2671,12.9671,13.637,12.82,12.6412,12.39501667
TRIM52,6.92247,6.56308,6.42361,5.9604,5.42217,5.68429,6.16267
WNT4,2.93329,3.36378,3.1846,3.0495,2.32089,2.68789,2.923325
TSPAN15,127.522,126.525,130.88,134.938,130.289,127.201,129.5591667
ZNF705B,0.0228943,0.00607815,0.00751091,0.0253842,0,0,0.01031126
NRGN,2.91703,2.66975,2.83233,2.44186,2.96863,2.33891,2.694751667
FEN1,33.2178,32.5365,33.4525,41.1816,35.731,34.7129,35.13871667
CYP39A1,0.0698855,0.0617397,0.0152586,0.0235521,0.0527298,0.0289353,0.042016833
SUMO4,0.0963575,0.204303,0.189346,0.146131,0.272638,0.359062,0.21130625
AC008060.7,0,0,0,0,0,0.0211954,0.003532567
PHB,181.685,181.295,180.195,195.978,184.678,173.051,182.8136667
WDR20,12.7127,14.0219,13.0225,12.4153,12.1711,13.62,12.99391667
ZNF155,2.01674,2.71622,2.63168,2.63675,1.92919,2.49605,2.404438333
PHF14,21.3568,21.2562,20.4975,21.3511,22.2091,22.5886,21.54321667
MPHOSPH9,16.5607,15.2037,14.2187,18.3358,13.6597,16.389,15.72793333
UVRAG,18.3505,18.0858,19.1664,17.4141,18.1325,18.1537,18.21716667
LSM2,33.766,33.634,30.8069,37.1538,33.8702,34.1492,33.89668333
RPTOR,8.0229,8.05666,7.82141,7.06545,7.50234,6.52357,7.498721667
PAF1,26.7096,26.6612,27.4347,26.7235,32.3825,23.9907,27.31703333
YWHAB,94.389,98.0054,93.9712,100.025,96.7927,104.188,97.89521667
THRA,4.4017,3.67067,4.55067,3.61371,3.65003,3.47156,3.893056667
NAV3,0.228121,0.219068,0.205301,0.167086,0.267611,0.0845797,0.19529445
EFHC1,7.26247,6.46326,6.90249,6.16063,6.51499,6.46566,6.62825
TERF2,16.9395,15.7765,21.1038,16.4163,15.682,16.4857,17.0673
CRAT,4.65307,3.32925,3.96957,5.54156,5.08648,5.61365,4.69893
BPHL,16.7157,12.0736,14.9386,16.8475,17.7664,14.248,15.43163333
FKBP14,1.60197,1.63819,1.86053,2.14871,1.73298,2.15166,1.855673333
