ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000006118,2805.550097,-0.77927952,0.038144858,-20.42947744,9.15E-93,6.29E-91
ENSG00000006125,1279.53461,0.302277403,0.070120235,4.310844144,1.63E-05,5.81E-05
ENSG00000006194,843.3672681,0.014457334,0.053352519,0.27097753,0.786408314,0.863664221
ENSG00000006210,76.31516767,-1.145460724,0.15534887,-7.373473168,1.66E-13,1.17E-12
ENSG00000006282,1742.950694,-0.483999556,0.043324875,-11.17140106,5.63E-29,8.38E-28
ENSG00000006327,1984.593906,-0.522015711,0.044748229,-11.66561719,1.91E-31,3.14E-30
ENSG00000006432,347.0876104,-0.218154741,0.073449966,-2.970113581,0.002976897,0.007710976
ENSG00000006451,1026.882701,0.121277298,0.065818444,1.842603557,0.065386914,0.124586614
ENSG00000006453,1125.509109,0.333866012,0.043078943,7.750097589,9.18E-15,7.01E-14
ENSG00000006459,266.5033505,-0.002803855,0.082826991,-0.03385195,0.972995209,0.983705459
ENSG00000006530,736.9474629,0.00986578,0.060399849,0.163341133,0.870249849,0.917661532
ENSG00000006534,136.818693,0.51922601,0.133888849,3.878037746,0.000105302,0.000342279
ENSG00000006576,1148.359457,-0.044960414,0.067101688,-0.670034019,0.502836104,0.642299314
ENSG00000006607,829.0505445,0.293391416,0.052291043,5.610739455,2.01E-08,9.76E-08
ENSG00000006625,2752.598473,0.310081627,0.059817488,5.183795536,2.17E-07,9.56E-07
ENSG00000006634,2778.032762,0.728172747,0.03802312,19.15078884,9.53E-82,5.44E-80
ENSG00000006652,1936.495452,0.334775104,0.037705352,8.878715821,6.76E-19,6.53E-18
ENSG00000006695,362.9787941,0.46853491,0.085387266,5.487175455,4.08E-08,1.91E-07
ENSG00000006704,805.0211212,-0.030917146,0.050548691,-0.611630984,0.540781934,0.675492786
ENSG00000006712,1357.703319,0.212984388,0.059369728,3.587423998,0.000333961,0.001012521
ENSG00000006715,2011.591391,-0.317180362,0.045469853,-6.975618875,3.05E-12,1.97E-11
ENSG00000006740,301.5300811,0.207375077,0.090374433,2.29462105,0.021754851,0.047474576
